index	actual_p	real_lower_num	real_upper_num	imag_lower_num	imag_upper_num	denominator	cell_status	strict_margin_num
59	955892545	25770812039695463614124190844516629092153070240941554257586178085798723715072	25770812039695463614124190844516629092153070244604657519457845987358822891520	-1831957830011224466182750863360	1830603833093256081507079946240	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	6511402691153659531901469680939819480808777886531534663004148727808
60	171540779	4624730263431948340839154816595831436204000537634371766515145184115175718912	4624730263431948340839154816595831436204000538277056075035395887455774179328	-321129383315873176935550943232	320858583932279500000416759808	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	3129499453461744894369776341353825316119631098749366434958927724544
61	-443367471	-11953163378589768771807779870620448486111734134853401559531309636660444004352	-11953163378589768771807779870620448486111734131506746720201967067871433457664	-1672611735579459423923079217152	1674429960012159826201837305856	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	6999662503561013792963797636522608296248739667578079569055938772992
62	-1639754847	-44207703230821813819093408240198144380521501772223337112100180534136399724544	-44207703230821813819093408240198144380521501770891700486091388039680848035840	-665238028610981225223916879872	664928543601159880155192098816	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	4979916796938234397097929344234696250695154879214566521766219350016
63	-1411546934	-38055230058728118287882482096027149130376218728099430186280636663278900084736	-38055230058728118287882482096027149130376218725387915958357149511780321460224	-1356163313037134091151990587392	1355312229260125392212997439488	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	13388087503157187296346353798701168224054142593320861768720305881088
64	0	0	0	0	0	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	13479973333575319897333507543509815336818572211270286240551805124608
65	1016520053	27405326426575097055183577078459560847038021508337243471406014970682761281536	27405326426575097055183577078459560847038021511070692449400589953927208763392	-1367614258400523858694807486464	1365834719594051124549639995392	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	1874018001450566112482941280877849576917476895011479675648987889664
66	680363606	18342566542891566619259841267777831238734974439984842606798303885532709519360	18342566542891566619259841267777831238734974441336711815324166813856143769600	-674599950158076913552841506816	676108689580955970762874814464	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	2618697750222228583416756022678817610344351970494138555470817787904
67	-7776634	-209657638630571258908854002421504125086800842858303680603457124449245986816	-209657638630571258908854002421504125086800839431917765618890532330013720576	-1712303188089046928987032387584	1714353526279113340067334062080	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	12739352423215426423116233236987064014939507913002843809089360756736
68	940808773	25364154335292447074624580112314303635628373806039160878149528182479078293504	25364154335292447074624580112314303635628373806702890167337630350492961865728	-330994218003928551001153339392	332000044285847922474508877824	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	4704987576814253602056384218160463851463543550755161178595754246144
69	-1263581585	-34066092143809919682760630472931416495883550890160631173791565987727970140160	-34066092143809919682760630472931416495883550886350638589133442182924371755008	-1904570750440557552932302618624	1905112349207744906802570985472	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	10863726516324110895277268900335305110965667339959002640750433271808
70	-1122313338	-30257507739496141084543362380113633954288097800394908356064233282860033769472	-30257507739496141084543362380113633954288097798722876904878188880940813516800	-835300041507810340488184070144	837040894688055406499760963584	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	10295641745820329818029235762078609694073256196904387700340392198144
71	949144161	25588875961814362409133495535568574227069759746403989907584674966143689031680	25588875961814362409133495535568574227069759750171505674644819160264811216896	-1884415539175942455331601252352	1882481257864559048652071370752	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	11663051192964260670908522662699247848015167692662241584350115135488
72	-217381296866151755540573987	-5860588169947491840826663007776117255732021168940096798915799496803007178974821326489567363072	-5860588169947491840826663007776117255732021168940096798915777222618520270619257078483836207104	-11141782914319908770989996419055616	11132749278996981074442721603616768	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	464394212757434727106450578405759511269188385798551440654994505728
73	552919285	14906674421585690233001282750862101826291577503322634505284300737612328468480	14906674421585690233001282750862101826291577507268104152991718346250199760896	-1971883740076700105379942498304	1972773509479936472452526243840	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	226598824016769853196502396769874596588335496812102788248951062528
74	969600651	26140381849229925974592086458092814094660470268086868050428045083257381847040	26140381849229925974592086458092814094660470269915498916583690089951341314048	-914412147143391673680956227584	914412147143391673680956227584	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	3644588018958877595841748999787488836779431446277341846690569650176
75	-691434343	-18641033011152965448634403346803941299409391805558894617868869547034373259264	-18641033011152965448634403346803941299409391801179565672018153820177949523968	-2188136390689364972151383261184	2190457528263025060166819119104	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	13443350193396159030994072407029369905455132717717171361112163090432
76	-393350205	-10604700545131083719937051964993162477186550462111606600875337753384355627008	-10604700545131083719937051964993162477186550461317816236309815320238882816000	-397262695731924063841847083008	396450297581143033036444532736	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	10298286124398943571109405456196906943915447641320637843021473251328
77	-24542718	-661670356430192556926939253402594454562393700947975763931564241399914168320	-661670356430192556926939253402594454562393696625514688635520670921668952064	-2161404622966046291840280297472	2161211194834907951172327309312	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	1563247874502168695553633741984982563556400785943520676345056067584
78	-1029519396	-27755788013869854715020979774492781821640642197147006392345275202831004991488	-27755788013869854715020979774492781821640642195369208439052786123675090812928	-888918319459358373644752388096	888454091944626356041665216512	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	8567258340973489516352063333135159188730304785165021274913065926656
79	896633773	24173198694357587245976713235740719447481378921228680717657240869154817310720	24173198694357587245976713235740719447481378925010858337057671285906775998464	-1892500835057525095252036157440	1890334439988775679770962690048	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	7791507261095802116951892215021389821518793179615625848030610063360
80	-103915710	-2801562000495479902567732871347582052449356336276330001204910198441885302784	-2801562000495479902567732871347582052446671968218376207947470147541677375488	-1342272274236628608426039158889250816	1342097755639590351941785254851772416	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	12463585842224664112334282196449241145583085803245719284720477405184
81	-109940609	-2963992963554811157914833730563812956687691359197470881016107613878201876480	-2963992963554811157914833730563812956687691355355833454103751275797494628352	-1922250081626601889983205736448	1920006315305397138234951073792	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	5119223809425812757648820778036871880456165196035350529571052060672
